,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (96, 24), 끝 좌표(192, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~192, 0~48 범위를 벗어나더라도 렌더링이 가능합니다. 왼쪽 번호를 비우면 텍스트 다 적혀있어도 추가 안되게 가능합니다. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a붙이면 입체(a생략), b붙이면 벽면, c붙이면 한자들어간 교수님, d는 오른쪽에 표시되는 표지판(을 형식적으로 의미함, 결국 좌표 적는 사용자에게 달림)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,
,영어는 소문자만 가능,,,,,,일반적으로 호실을 적습니다,,,,,,일반적으로 한글 이름을 적습니다,,,,,,일반적으로 영문 이름을 적습니다,,,,,,일반적으로 한글 이름을 적습니다,,,,,,일반적으로 영문 이름을 적습니다,,,,,
,번호,전체배율,translatex,translatey,텍스쳐,좌표갯수,x1,y1,텍스트1,배율,색,정렬1,x2,y2,텍스트2,배율,색,정렬2,x3,y3,텍스트3,배율,색,정렬3,x4,y4,텍스트4,배율,색,정렬4,x5,y5,텍스트5,배율,색,정렬5
,08-314,0.5,0,0,default,3,184,30,08-314,1,#0000FF,RIGHT,10,10,탕비실,1.75,#FFFFFF,LEFT,10,29,Office Pantry,0.75,#808080,LEFT,,,,,,,,,,,,
,08-315,0.5,0,0,default,3,146,15,08-315,1,#0000FF,LEFT,138,10,전자공학과사무실,1.75,#FFFFFF,RIGHT,138,29,Dept. of Electronics Engineering,0.75,#808080,RIGHT,,,,,,,,,,,,
,08-316,0.5,0,0,default,3,184,30,08-316,1,#0000FF,RIGHT,10,10,기초전자회로사무실,1.75,#FFFFFF,LEFT,10,29,Basic Electronic Circuit Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-317,0.5,0,0,default,3,184,30,08-317,1,#0000FF,RIGHT,10,10,전자회로실험실,1.75,#FFFFFF,LEFT,10,29,Electronic Circuit Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-318,0.5,0,0,default,3,184,30,08-318,1,#0000FF,RIGHT,10,10,멀티미디어실험실,1.75,#FFFFFF,LEFT,10,29,Multimedia Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-319,0.5,0,0,default,3,184,30,08-319,1,#0000FF,RIGHT,10,10,탈의실(남),1.75,#FFFFFF,LEFT,10,29,Locker (M),0.75,#808080,LEFT,,,,,,,,,,,,
,08-321b,0.5,0,-0.5,default,3,146,12,08-321,1,#0000FF,LEFT,138,10,강 의 실,1.75,#FFFFFF,RIGHT,138,29,Lecture Room,0.75,#FFFFFF,RIGHT,,,,,,,,,,,,
,08-321,0.5,0,0,default,3,184,30,08-321,1,#0000FF,RIGHT,10,10,강 의 실,1.75,#FFFFFF,LEFT,10,29,Lecture Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-322b,0.5,0,-0.5,default,3,146,12,08-322,1,#0000FF,LEFT,138,10,강 의 실,1.75,#FFFFFF,RIGHT,138,29,Lecture Room,0.75,#FFFFFF,RIGHT,,,,,,,,,,,,
,08-322,0.5,0,0,default,3,184,30,08-322,1,#0000FF,RIGHT,10,10,강 의 실,1.75,#FFFFFF,LEFT,10,29,Lecture Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-323,0.5,0,0,default,3,184,30,08-323,1,#0000FF,RIGHT,10,10,전자공학과학생회실,1.75,#FFFFFF,LEFT,10,29,Students Association · Dept. of Electronics Engineering,0.45,#808080,LEFT,,,,,,,,,,,,
,08-323b,0.5,0,-0.5,default,3,148,15,08-323,1,#0000FF,LEFT,140,10,전자공학과학생회실,1.75,#FFFFFF,RIGHT,140,29,Students Association · Dept. of Electronics Engineering,0.45,#FFFFFF,RIGHT,,,,,,,,,,,,
,08-324,0.5,0,0,default,3,184,30,08-324,1,#0000FF,RIGHT,10,10,실험준비실,1.75,#FFFFFF,LEFT,10,29,Lab Preparation Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-325,0.5,0,0,default,3,184,30,08-325,1,#0000FF,RIGHT,10,10,디지털회로실험실,1.75,#FFFFFF,LEFT,10,29,Digital Circuit Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-326,0.5,0,0,default,3,184,30,08-326,1,#0000FF,RIGHT,10,10,컴퓨터실험실,1.75,#FFFFFF,LEFT,10,29,Computer Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-327,0.5,0,0,default,3,184,30,08-327,1,#0000FF,RIGHT,10,10,교강사교재 연구실,1.75,#FFFFFF,LEFT,10,29,Lecture Perparation Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-328,0.5,0,0,default,3,184,30,08-328,1,#0000FF,RIGHT,10,10,세미나실,1.75,#FFFFFF,LEFT,10,29,Seminar Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-330,0.5,0,0,default,3,184,30,08-330,1,#0000FF,RIGHT,10,10,부호이론및통신방식연구실험실,1.3,#FFFFFF,LEFT,10,29,Coding Theory & Communication Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
